model_name,train_time
all-mpnet-base-v2_5_8_10,44.61153411865234
all-mpnet-base-v2_5_8_11,42.64995408058167
all-mpnet-base-v2_5_8_12,41.90334105491638
all-mpnet-base-v2_5_8_13,41.29213881492615
all-mpnet-base-v2_5_8_14,39.579827070236206
all-mpnet-base-v2_5_8_15,39.875317096710205
all-mpnet-base-v2_5_8_16,39.44191336631775
all-mpnet-base-v2_5_8_17,38.04534316062927
all-mpnet-base-v2_5_8_18,37.616676330566406
all-mpnet-base-v2_5_8_19,37.65291666984558
all-mpnet-base-v2_5_8_20,37.56486439704895
all-mpnet-base-v2_5_8_21,37.544516801834106
all-mpnet-base-v2_5_8_22,37.66470718383789
all-mpnet-base-v2_5_8_23,36.83971810340881
all-mpnet-base-v2_5_8_24,36.64494609832764
all-mpnet-base-v2_5_8_25,35.3344407081604
all-mpnet-base-v2_5_9_5,57.29774498939514
all-mpnet-base-v2_5_9_6,53.704669713974
all-mpnet-base-v2_5_9_7,50.856879234313965
all-mpnet-base-v2_5_9_8,48.65687155723572
all-mpnet-base-v2_5_9_9,46.7931010723114
all-mpnet-base-v2_5_9_10,45.37498569488525
all-mpnet-base-v2_5_9_11,44.12962985038757
all-mpnet-base-v2_5_9_12,42.979538440704346
all-mpnet-base-v2_5_9_13,40.92148470878601
all-mpnet-base-v2_5_9_14,43.83947491645813
all-mpnet-base-v2_5_9_15,39.41890025138855
all-mpnet-base-v2_5_9_16,38.2167546749115
all-mpnet-base-v2_5_9_17,37.83707571029663
all-mpnet-base-v2_5_9_18,37.97373294830322
all-mpnet-base-v2_5_9_19,37.70970559120178
all-mpnet-base-v2_5_9_20,37.48495697975159
all-mpnet-base-v2_5_9_21,37.36788177490234
all-mpnet-base-v2_5_9_22,36.24004673957825
all-mpnet-base-v2_5_9_23,35.96747303009033
all-mpnet-base-v2_5_9_24,36.02017116546631
all-mpnet-base-v2_5_9_25,35.987157344818115
all-mpnet-base-v2_5_10_5,58.228090047836304
all-mpnet-base-v2_5_10_6,54.16762971878052
all-mpnet-base-v2_5_10_7,51.33823227882385
all-mpnet-base-v2_5_10_8,49.26334524154663
all-mpnet-base-v2_5_10_9,46.96563935279846
all-mpnet-base-v2_5_10_10,44.1098837852478
all-mpnet-base-v2_5_10_11,42.879804611206055
all-mpnet-base-v2_5_10_12,44.91730284690857
all-mpnet-base-v2_5_10_13,41.65423393249512
all-mpnet-base-v2_5_10_14,40.260395765304565
all-mpnet-base-v2_5_10_15,40.04770064353943
all-mpnet-base-v2_5_10_16,38.79971790313721
all-mpnet-base-v2_5_10_17,38.65390133857727
all-mpnet-base-v2_5_10_18,38.45782732963562
all-mpnet-base-v2_5_10_19,38.03442335128784
all-mpnet-base-v2_5_10_20,37.51979851722717
all-mpnet-base-v2_5_10_21,37.504979848861694
all-mpnet-base-v2_5_10_22,37.434871196746826
all-mpnet-base-v2_5_10_23,37.79455471038818
all-mpnet-base-v2_5_10_24,36.15502381324768
all-mpnet-base-v2_5_10_25,36.017667293548584
all-mpnet-base-v2_5_11_5,58.868409872055054
all-mpnet-base-v2_5_11_6,53.46891236305237
all-mpnet-base-v2_5_11_7,51.62937259674072
all-mpnet-base-v2_5_11_8,49.7146680355072
all-mpnet-base-v2_5_11_9,47.9817042350769
all-mpnet-base-v2_5_11_10,66.98494482040405
all-mpnet-base-v2_5_11_11,44.529996156692505
all-mpnet-base-v2_5_11_12,41.864590644836426
all-mpnet-base-v2_5_11_13,41.299452781677246
all-mpnet-base-v2_5_11_14,40.00628042221069
all-mpnet-base-v2_5_11_15,40.053844928741455
all-mpnet-base-v2_5_11_16,40.01976728439331
all-mpnet-base-v2_5_11_17,39.53503370285034
all-mpnet-base-v2_5_11_18,39.5345299243927
all-mpnet-base-v2_5_11_19,38.6497118473053
all-mpnet-base-v2_5_11_20,37.77796244621277
all-mpnet-base-v2_5_11_21,36.922788858413696
all-mpnet-base-v2_5_11_22,36.955196142196655
all-mpnet-base-v2_5_11_23,37.09365177154541
all-mpnet-base-v2_5_11_24,36.63042902946472
all-mpnet-base-v2_5_11_25,36.581204652786255
all-mpnet-base-v2_5_12_5,58.18781089782715
all-mpnet-base-v2_5_12_6,55.15526223182678
all-mpnet-base-v2_5_12_7,51.15620493888855
all-mpnet-base-v2_5_12_8,49.37647199630737
all-mpnet-base-v2_5_12_9,46.12452960014343
all-mpnet-base-v2_5_12_10,45.53168559074402
all-mpnet-base-v2_5_12_11,44.54707360267639
all-mpnet-base-v2_5_12_12,43.109055042266846
all-mpnet-base-v2_5_12_13,43.95664477348328
all-mpnet-base-v2_5_12_14,40.542595624923706
all-mpnet-base-v2_5_12_15,40.17362833023071
all-mpnet-base-v2_5_12_16,39.07400965690613
all-mpnet-base-v2_5_12_17,38.79569220542908
all-mpnet-base-v2_5_12_18,39.204198598861694
all-mpnet-base-v2_5_12_19,38.46349596977234
all-mpnet-base-v2_5_12_20,38.49601912498474
all-mpnet-base-v2_5_12_21,39.226149797439575
all-mpnet-base-v2_5_12_22,36.84726309776306
all-mpnet-base-v2_5_12_23,36.40651035308838
all-mpnet-base-v2_5_12_24,36.81096529960632
all-mpnet-base-v2_5_12_25,37.26603555679321
all-mpnet-base-v2_5_13_5,61.68744802474976
all-mpnet-base-v2_5_13_6,54.53524112701416
all-mpnet-base-v2_5_13_7,51.680906772613525
all-mpnet-base-v2_5_13_8,49.59950375556946
all-mpnet-base-v2_5_13_9,47.43313097953797
